Tester console logging started at 2024-05-26T11:05:49.972160Z

1: Bus=0x01:00 DevId=0x2489   8GB NVIDIA GeForce RTX 3060 Ti
Tester worker logging started at 2024-05-26T11:05:50.200881Z
Standard 5-minute test of 1: Bus=0x01:00 DevId=0x2489   8GB NVIDIA GeForce RTX 3060 Ti
  63534 iteration. Passed 30.0036 seconds  written: 3870.8GB 382.0GB/sec        checked: 7741.5GB 389.6GB/sec
  64736 iteration. Passed 30.0216 seconds  written: 3906.5GB 384.4GB/sec        checked: 7813.0GB 393.4GB/sec
  65937 iteration. Passed 30.0014 seconds  written: 3903.2GB 384.4GB/sec        checked: 7806.5GB 393.3GB/sec
  67138 iteration. Passed 30.0085 seconds  written: 3903.2GB 384.4GB/sec        checked: 7806.5GB 393.2GB/sec
  68339 iteration. Passed 30.0076 seconds  written: 3903.2GB 384.3GB/sec        checked: 7806.5GB 393.2GB/sec
  69540 iteration. Passed 30.0058 seconds  written: 3903.2GB 384.4GB/sec        checked: 7806.5GB 393.3GB/sec
  70741 iteration. Passed 30.0209 seconds  written: 3903.2GB 384.1GB/sec        checked: 7806.5GB 393.1GB/sec
  71942 iteration. Passed 30.0046 seconds  written: 3903.2GB 384.4GB/sec        checked: 7806.5GB 393.3GB/sec
  73144 iteration. Passed 30.0155 seconds  written: 3906.5GB 384.6GB/sec        checked: 7813.0GB 393.4GB/sec
  74345 iteration. Passed 30.0028 seconds  written: 3903.2GB 384.4GB/sec        checked: 7806.5GB 393.3GB/sec
  75546 iteration. Passed 30.0191 seconds  written: 3903.2GB 384.3GB/sec        checked: 7806.5GB 393.1GB/sec
  76747 iteration. Passed 30.0099 seconds  written: 3903.2GB 384.3GB/sec        checked: 7806.5GB 393.2GB/sec
  77948 iteration. Passed 30.0058 seconds  written: 3903.2GB 384.3GB/sec        checked: 7806.5GB 393.3GB/sec
  79149 iteration. Passed 30.0009 seconds  written: 3903.2GB 384.4GB/sec        checked: 7806.5GB 393.4GB/sec
  80350 iteration. Passed 30.0029 seconds  written: 3903.2GB 384.4GB/sec        checked: 7806.5GB 393.3GB/sec
  81551 iteration. Passed 30.0016 seconds  written: 3903.2GB 384.5GB/sec        checked: 7806.5GB 393.3GB/sec
  82752 iteration. Passed 30.0034 seconds  written: 3903.2GB 384.4GB/sec        checked: 7806.5GB 393.3GB/sec
  83953 iteration. Passed 30.0028 seconds  written: 3903.2GB 384.6GB/sec        checked: 7806.5GB 393.2GB/sec
  85154 iteration. Passed 30.0031 seconds  written: 3903.2GB 384.5GB/sec        checked: 7806.5GB 393.3GB/sec
  86355 iteration. Passed 30.0010 seconds  written: 3903.2GB 384.4GB/sec        checked: 7806.5GB 393.3GB/sec
  87556 iteration. Passed 30.0065 seconds  written: 3903.2GB 384.3GB/sec        checked: 7806.5GB 393.3GB/sec
  88757 iteration. Passed 30.0008 seconds  written: 3903.2GB 384.4GB/sec        checked: 7806.5GB 393.4GB/sec
  89958 iteration. Passed 30.0212 seconds  written: 3903.2GB 384.2GB/sec        checked: 7806.5GB 393.0GB/sec
  91159 iteration. Passed 30.0100 seconds  written: 3903.2GB 384.4GB/sec        checked: 7806.5GB 393.2GB/sec
  92360 iteration. Passed 30.0091 seconds  written: 3903.2GB 384.3GB/sec        checked: 7806.5GB 393.2GB/sec
  93561 iteration. Passed 30.0227 seconds  written: 3903.2GB 384.1GB/sec        checked: 7806.5GB 393.1GB/sec
  94762 iteration. Passed 30.0096 seconds  written: 3903.2GB 384.2GB/sec        checked: 7806.5GB 393.3GB/sec
  95963 iteration. Passed 30.0073 seconds  written: 3903.2GB 384.3GB/sec        checked: 7806.5GB 393.3GB/sec
